Student,LPIPS,SSIM
113378043.png,0.26404789090156555,0.6242560783727626
111332012.png,0.27283310890197754,0.6357482671153107
112590036.png,0.31048327684402466,0.7248705666382594
109810011.png,0.3177276849746704,0.665787943320443
112590007.png,0.32889503240585327,0.6747953559865109
110590456.png,0.3313117027282715,0.6332149217523201
112590059.png,0.3320159316062927,0.6910599978093922
112590038.png,0.3356908857822418,0.6911677320002808
112590057.png,0.33825764060020447,0.5744462363681799
112590060.png,0.33896559476852417,0.6872521191895725
112590004.png,0.3435823321342468,0.6535858363294009
110590041.png,0.3489479124546051,0.6489811720984631
112590017.png,0.3632265031337738,0.643475416360474
112590020.png,0.3648054897785187,0.6006803205538712
112590041.png,0.36508527398109436,0.6691117360483588
112590022.png,0.3685980439186096,0.5942009691182023
112590026.png,0.37219947576522827,0.609774919977911
112590003.png,0.379261314868927,0.6787415115056327
111820017.jpg,0.38711655139923096,0.6447765319909674
112590014.png,0.38774099946022034,0.6408244195756292
112590044.png,0.3942343294620514,0.6327819576695094
112590030.png,0.4061809480190277,0.5750218877307269
112590021.png,0.41432005167007446,0.560669276919291
112590056.png,0.4160480499267578,0.6804630191710977
112590012.png,0.4196265637874603,0.6603898929563988
112590035.png,0.4227144122123718,0.5941618348493005
112590031.png,0.4245615303516388,0.5155305912428078
112590013.png,0.4249328076839447,0.6738466444125231
112590023.png,0.42693641781806946,0.6397789380448848
112590052.png,0.4332208037376404,0.5380022366819324
112590029.png,0.43747201561927795,0.6737490550454326
112590033.png,0.44243210554122925,0.6671470462756836
110820009.png,0.46228456497192383,0.6123840617367993
112590024.png,0.46988028287887573,0.553749908569155
112590051.png,0.47666558623313904,0.4981276111492862
112590005.png,0.48299527168273926,0.583572779585113
112ab0053.png,0.48765304684638977,0.6530000020973465
112590053.png,0.5024865865707397,0.4806217653296699
112590018.png,0.5648090839385986,0.42199674174240437
